timestamp,velocity_m_s,pressure_bar,power_W,position_deg
1748353365.4408329,-60.767345834923,1.2229,74.31238722152735,188.0
1748353365.4507546,-60.767345834923,1.2229,74.31238722152735,188.0
1748353365.4607708,-60.767345834923,1.2229,74.31238722152735,188.0
1748353365.4707644,-60.767345834923,1.2229,74.31238722152735,188.0
1748353365.480729,-60.767345834923,1.2229,74.31238722152735,188.0
1748353365.6083648,-32.999252574683524,1.2705000000000002,41.92555039613542,183.0
1748353365.611357,-32.999252574683524,1.2705000000000002,41.92555039613542,183.0
1748353365.6212943,-32.999252574683524,1.2705000000000002,41.92555039613542,183.0
1748353365.6313431,-32.999252574683524,1.2705000000000002,41.92555039613542,183.0
1748353365.6412463,-32.999252574683524,1.2705000000000002,41.92555039613542,183.0
1748353365.6512194,-32.999252574683524,1.2705000000000002,41.92555039613542,183.0
1748353365.6611927,-32.999252574683524,1.2705000000000002,41.92555039613542,183.0
1748353365.6712315,-32.999252574683524,1.2705000000000002,41.92555039613542,183.0
1748353365.6811683,-32.999252574683524,1.2705000000000002,41.92555039613542,183.0
1748353365.691115,-32.999252574683524,1.2705000000000002,41.92555039613542,183.0
1748353365.701089,-32.999252574683524,1.2705000000000002,41.92555039613542,183.0
1748353365.7111018,10.44479031000899,1.2586,13.145813084177314,184.0
1748353365.7210634,10.44479031000899,1.2586,13.145813084177314,184.0
1748353365.7310467,10.44479031000899,1.2586,13.145813084177314,184.0
1748353365.740982,10.44479031000899,1.2586,13.145813084177314,184.0
1748353365.7509565,10.44479031000899,1.2586,13.145813084177314,184.0
1748353365.7609804,10.44479031000899,1.2586,13.145813084177314,184.0
1748353365.7709005,10.44479031000899,1.2586,13.145813084177314,184.0
1748353365.780902,10.44479031000899,1.2586,13.145813084177314,184.0
1748353365.790876,10.44479031000899,1.2586,13.145813084177314,184.0
1748353365.8008478,30.376044689284903,1.2348,37.508339982329,187.0
1748353365.8108475,30.376044689284903,1.2348,37.508339982329,187.0
1748353365.8207686,30.376044689284903,1.2348,37.508339982329,187.0
1748353365.830743,30.376044689284903,1.2348,37.508339982329,187.0
1748353365.8410676,30.376044689284903,1.2348,37.508339982329,187.0
1748353365.851066,30.376044689284903,1.2348,37.508339982329,187.0
1748353365.8610137,30.376044689284903,1.2348,37.508339982329,187.0
1748353365.8717682,30.376044689284903,1.2348,37.508339982329,187.0
1748353365.8807354,30.376044689284903,1.2348,37.508339982329,187.0
1748353365.8907113,30.376044689284903,1.2348,37.508339982329,187.0
1748353365.9008665,30.376044689284903,1.2348,37.508339982329,187.0
1748353365.9112897,38.98341884154956,1.2109999999999999,47.20892021711651,191.0
1748353365.9206436,38.98341884154956,1.2109999999999999,47.20892021711651,191.0
1748353365.931393,38.98341884154956,1.2109999999999999,47.20892021711651,191.0
1748353365.9415152,38.98341884154956,1.2109999999999999,47.20892021711651,191.0
1748353365.9514236,38.98341884154956,1.2109999999999999,47.20892021711651,191.0
1748353365.9606032,38.98341884154956,1.2109999999999999,47.20892021711651,191.0
1748353365.9713452,38.98341884154956,1.2109999999999999,47.20892021711651,191.0
1748353365.9806476,38.98341884154956,1.2109999999999999,47.20892021711651,191.0
1748353365.9909728,38.98341884154956,1.2109999999999999,47.20892021711651,191.0
1748353366.0009081,38.98341884154956,1.2109999999999999,47.20892021711651,191.0
1748353366.0112162,58.57189339403291,1.1633999999999998,68.14254077461787,197.0
1748353366.0211897,58.57189339403291,1.1633999999999998,68.14254077461787,197.0
1748353366.031161,58.57189339403291,1.1633999999999998,68.14254077461787,197.0
1748353366.0410957,58.57189339403291,1.1633999999999998,68.14254077461787,197.0
1748353366.0511055,58.57189339403291,1.1633999999999998,68.14254077461787,197.0
1748353366.061705,58.57189339403291,1.1633999999999998,68.14254077461787,197.0
1748353366.0706778,58.57189339403291,1.1633999999999998,68.14254077461787,197.0
1748353366.0811424,58.57189339403291,1.1633999999999998,68.14254077461787,197.0
1748353366.0910835,58.57189339403291,1.1633999999999998,68.14254077461787,197.0
1748353366.1012685,58.57189339403291,1.1633999999999998,68.14254077461787,197.0
